,city,temp,humidity,clouds,wind_speed,lat,lon
142,broome,87.8,70,40,5.7,-17.12358425810946,123.2566781858049
143,fukuma,42.04,100,8,3.57,35.142358217344054,129.82040114491394
144,solnechnyy,-10.25,61,48,1.42,62.275035422194804,138.392648933224
145,impfondo,74.12,87,8,1.77,2.212920955139893,18.570794323206258
146,ribeira grande,69.94,98,0,2.42,29.65509082550929,-43.643024620470044
147,hambantota,84.92,97,12,4.67,-2.6982199632835346,87.48844206831632
148,hasaki,70.39,100,80,8.37,25.424835431225887,154.49543212308515
149,palabuhanratu,80.74,100,12,1.57,-12.972038949872939,103.1608735977972
150,soyo,81.64,100,36,4.22,-8.031123686388469,8.774564118328897
151,fortuna,56.08,100,36,13.82,34.75085893241523,-138.30430060087585
152,chagda,-26.09,38,68,4.22,58.55096226624829,132.3467901198004
153,kaitangata,27.59,100,88,5.72,-79.4527415691897,178.767849915409
154,twin falls,16.16,67,24,2.72,41.806157480373116,-114.29951697682307
155,almeirim,78.44,84,44,2.12,-1.2549711401955363,-52.38270087604316
156,amderma,-13.94,65,48,11.92,86.15729384921536,65.11893085716972
157,teya,-32.98,58,24,1.22,61.63307020642503,90.73296225713
158,shitanjing,21.52,68,80,5.42,39.842551963701595,104.56793283875908
159,coolum beach,77.72,85,92,3.87,-26.336995527626662,152.9444964513903
160,khandyga,-40.4,77,20,1.17,64.58107317596435,134.68721691105344
161,tarudant,53.65,61,0,5.82,28.58476550112904,-7.256777054219185
162,gbadolite,70.79,88,20,2.07,4.240611152439371,20.812569281938522
163,vila franca do campo,54.41,100,76,3.92,44.579441659584916,-19.971280590723353
164,tasiilaq,25.84,100,92,15.57,64.87233128644084,-38.64035485002947
165,norman wells,-23.48,100,0,2.52,70.72029707254691,-120.52711313394856
166,camocim,77.14,100,88,4.87,1.518200020599778,-40.64758434715887
167,aykhal,-35.05,65,48,4.27,68.22515488405313,108.21115773802723
168,bolungarvik,-42.56,0,0,1.62,70.12063451869929,-29.776533307347876
169,santa lucia,63.73,99,12,6.47,24.675996665205645,-15.905282439227477
170,kedrovyy,-36.53,72,24,1.37,57.42091105703494,79.20530493494255
171,baykit,-37.21,71,20,1.17,62.22446683720415,97.62967822513554
172,saint-louis,69.04,100,0,9.42,17.567218309108853,-18.915346874415206
173,bandarbeyla,78.13,100,92,7.32,6.546874504618117,55.374453823510635
174,waipawa,60.04,100,8,8.62,-43.87315498078689,179.10392549960596
175,bathsheba,74.75,100,76,7.62,17.292988163576823,-47.92328439571506
176,kahului,63.64,100,8,8.62,29.35033370738776,-148.53989042782268
177,nizhneyansk,-25.51,39,12,0.72,86.05062325896705,135.44480451938324
178,yunyang,37.0,90,0,1.12,33.72719542289242,112.22636460149829
179,jadu,59.59,40,8,6.22,32.15928576875565,12.156211006437019
180,pierre,36.32,88,1,1.5,44.21259297747142,-99.33235446920462
181,port elizabeth,34.07,100,88,3.02,-59.819817933263096,28.675352960824853
182,saleaula,81.59,100,8,7.07,3.3323882223490386,-168.28253912212986
183,pacific grove,62.24,100,20,11.52,28.741013078788896,-131.30053630005358
184,pimenta bueno,77.95,89,12,0.92,-10.798416157451541,-59.64531213590239
185,beloha,66.2,100,92,5.27,-34.8804048142352,41.034979667770216
186,kaoma,63.37,98,8,3.12,-15.753526889081527,25.31331923706955
187,havre-saint-pierre,8.2,82,48,10.02,49.44564229824235,-61.985801735303866
188,skive,33.8,86,88,4.1,56.5536320271635,9.037787136294241
189,hualmay,71.69,100,76,5.37,-23.16875335636459,-96.88325362802962
190,provideniya,51.04,86,92,16.52,42.07582019627239,-175.8668444160986
191,aswan,44.06,51,0,2.07,22.65051484172905,28.79235203743005
192,lazaro cardenas,81.55,100,44,6.32,11.636718526810427,-105.35518920177013
193,belmonte,80.6,100,20,6.37,-18.181589021519528,-29.259220955676994
194,lebu,63.73,100,92,6.82,-37.07515586926837,-85.80487217831842
195,carupano,77.45,100,0,8.17,10.527089061620714,-63.604107013662784
196,codrington,72.14,100,92,5.87,24.439862796449802,-44.13681709494017
197,kawalu,80.83,100,48,2.57,-7.802244127662092,108.04868771249306
198,toccoa,43.07,30,1,1.5,34.80006665394555,-83.41045179008059
199,athabasca,-5.48,52,80,2.62,56.03547407673341,-112.43306772871355
200,salisbury,24.91,84,90,5.1,37.70524240600004,-74.92004394867818
201,rocha,68.0,100,68,10.07,-39.27186585112757,-50.86317554360241
202,oranjemund,69.62,100,64,10.92,-31.343065869772317,11.651880726955198
203,mount gambier,44.47,96,32,12.87,-52.660785730238175,132.00589618944008
204,chaiya,80.83,100,20,1.0,9.424440117537245,98.9455202135108
205,negombo,73.4,88,20,3.6,7.581722054172616,79.59750210635025
206,kazalinsk,14.23,86,0,4.37,45.26906046929341,62.47166017134575
207,beyneu,8.96,79,0,4.47,46.0089807927005,55.49768722953729
208,grand river south east,81.5,99,32,10.42,-18.254898402395824,74.28455117316011
209,namatanai,84.2,100,80,6.17,1.198605684868653,155.19040130274487
210,kyzyl-suu,-18.44,56,8,1.17,40.65110618945752,77.88603544990235
211,sentyabrskiy,57.34,100,44,15.77,34.23972596849522,155.89147887687938
212,karakendzha,13.91,91,88,0.57,38.43418829479194,71.36015609212748
213,khasan,36.86,81,0,5.17,42.16726303147678,130.20299748251426
214,ossora,31.1,93,92,8.62,59.72505748005375,163.99579917362507
215,marana,50.27,70,0,2.32,32.02160083794064,-111.8017003769009
216,pitimbu,81.59,100,100,5.27,-7.52273078614769,-26.761314017041144
217,biltine,61.03,37,0,4.17,14.593915307432212,21.91289237558908
218,barbalha,71.38,86,80,1.32,-7.465611754844133,-39.19426357273346
219,makakilo city,77.68,100,76,4.77,12.676099616342029,-163.56836190810384
220,opuwo,59.9,76,44,1.17,-17.544552750343996,12.322338649666989
221,nago,58.82,100,0,4.77,28.986437955546748,126.27967139468586
222,hamilton,66.02,100,12,4.82,30.614368642153067,-64.30495648750497
223,matamoros,72.14,100,32,4.57,24.828610865271926,-94.69507706779241
224,marsh harbour,73.4,100,8,9.37,27.261452102761268,-76.37671247751506
225,mayo,-31.0,73,5,1.27,63.225155473534954,-136.66534631666565
226,solovetskiy,7.75,75,44,2.77,66.40918499722699,36.9508907566082
227,emerald,79.84,52,92,7.82,-23.85814049243912,146.877256638471
228,evensk,18.82,84,64,12.47,61.16252999154932,161.53707647500005
229,ahipara,68.77,100,0,8.27,-35.15385294497149,171.9965355107227
230,sitka,46.63,100,76,6.57,44.08201182079799,-143.32677565356636
